Date : 2024-11-19 15:52:38
Directory : d:\Personal\Workspace\Flutter\attendo_app\lib
Total : 60 files,  3431 codes, 99 comments, 415 blanks, all 3945 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         60 |      3,431 |         99 |        415 |      3,945 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |         60 |      3,431 |         99 |        415 |      3,945 |
| . (Files)                                                                                                       |          2 |        145 |         12 |         11 |        168 |
| app_blocs                                                                                                       |         30 |        876 |          9 |        235 |      1,120 |
| app_blocs\activity                                                                                              |          3 |        137 |          0 |         27 |        164 |
| app_blocs\activity\bloc                                                                                         |          3 |        137 |          0 |         27 |        164 |
| app_blocs\activity_choice                                                                                       |          3 |         75 |          0 |         20 |         95 |
| app_blocs\activity_choice\bloc                                                                                  |          3 |         75 |          0 |         20 |         95 |
| app_blocs\attendance                                                                                            |          3 |         66 |          0 |         21 |         87 |
| app_blocs\attendance\bloc                                                                                       |          3 |         66 |          0 |         21 |         87 |
| app_blocs\auth                                                                                                  |          3 |        165 |          7 |         36 |        208 |
| app_blocs\auth\bloc                                                                                             |          3 |        165 |          7 |         36 |        208 |
| app_blocs\group                                                                                                 |          3 |         91 |          0 |         27 |        118 |
| app_blocs\group\bloc                                                                                            |          3 |         91 |          0 |         27 |        118 |
| app_blocs\groupdetail                                                                                           |          3 |         46 |          0 |         15 |         61 |
| app_blocs\groupdetail\bloc                                                                                      |          3 |         46 |          0 |         15 |         61 |
| app_blocs\invite_member                                                                                         |          6 |        208 |          2 |         57 |        267 |
| app_blocs\invite_member\invitation                                                                              |          3 |        128 |          0 |         35 |        163 |
| app_blocs\invite_member\invitation\bloc                                                                         |          3 |        128 |          0 |         35 |        163 |
| app_blocs\invite_member\link_invite                                                                             |          3 |         80 |          2 |         22 |        104 |
| app_blocs\invite_member\link_invite\bloc                                                                        |          3 |         80 |          2 |         22 |        104 |
| app_blocs\today_activity                                                                                        |          3 |         41 |          0 |         15 |         56 |
| app_blocs\today_activity\bloc                                                                                   |          3 |         41 |          0 |         15 |         56 |
| app_blocs\user                                                                                                  |          3 |         47 |          0 |         17 |         64 |
| app_blocs\user\bloc                                                                                             |          3 |         47 |          0 |         17 |         64 |
| app_colors                                                                                                      |          1 |          4 |          0 |          1 |          5 |
| screens                                                                                                         |         13 |      1,654 |         16 |         90 |      1,760 |
| screens (Files)                                                                                                 |          1 |         73 |          0 |          7 |         80 |
| screens\activity                                                                                                |          1 |        136 |          1 |          9 |        146 |
| screens\authentication                                                                                          |          3 |        493 |          4 |         24 |        521 |
| screens\group                                                                                                   |          1 |        163 |          1 |          7 |        171 |
| screens\invite                                                                                                  |          1 |         81 |          0 |          6 |         87 |
| screens\navigation                                                                                              |          5 |        661 |          9 |         29 |        699 |
| screens\navigation\activity                                                                                     |          1 |         11 |          0 |          2 |         13 |
| screens\navigation\home                                                                                         |          1 |        375 |          9 |         15 |        399 |
| screens\navigation\notify                                                                                       |          1 |        199 |          0 |          5 |        204 |
| screens\navigation\profile                                                                                      |          1 |         11 |          0 |          2 |         13 |
| screens\navigation\setting                                                                                      |          1 |         65 |          0 |          5 |         70 |
| screens\splash                                                                                                  |          1 |         47 |          1 |          8 |         56 |
| services                                                                                                        |          5 |        216 |          0 |         35 |        251 |
| widgets                                                                                                         |          9 |        536 |         62 |         43 |        641 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                        | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_bloc.dart                        | Dart     |         88 |          0 |         11 |         99 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_event.dart                       | Dart     |         35 |          0 |          8 |         43 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_state.dart                       | Dart     |         14 |          0 |          8 |         22 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_bloc.dart          | Dart     |         37 |          0 |          7 |         44 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_event.dart         | Dart     |         26 |          0 |          7 |         33 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_state.dart         | Dart     |         12 |          0 |          6 |         18 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\attendance\bloc\attendance_bloc.dart                    | Dart     |         32 |          0 |          6 |         38 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\attendance\bloc\attendance_event.dart                   | Dart     |         20 |          0 |          6 |         26 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\attendance\bloc\attendance_state.dart                   | Dart     |         14 |          0 |          9 |         23 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\auth\bloc\auth_bloc.dart                                | Dart     |        128 |          5 |         13 |        146 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\auth\bloc\auth_event.dart                               | Dart     |         15 |          0 |          7 |         22 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\auth\bloc\auth_state.dart                               | Dart     |         22 |          2 |         16 |         40 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\group\bloc\group_bloc.dart                              | Dart     |         65 |          0 |         10 |         75 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\group\bloc\group_event.dart                             | Dart     |         13 |          0 |          9 |         22 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\group\bloc\group_state.dart                             | Dart     |         13 |          0 |          8 |         21 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\groupdetail\bloc\groupdetail_bloc.dart                  | Dart     |         26 |          0 |          5 |         31 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\groupdetail\bloc\groupdetail_event.dart                 | Dart     |          7 |          0 |          3 |         10 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\groupdetail\bloc\groupdetail_state.dart                 | Dart     |         13 |          0 |          7 |         20 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\invitation\bloc\invitation_bloc.dart      | Dart     |         94 |          0 |         18 |        112 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\invitation\bloc\invitation_event.dart     | Dart     |         13 |          0 |          6 |         19 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\invitation\bloc\invitation_state.dart     | Dart     |         21 |          0 |         11 |         32 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\link_invite\bloc\member_invite_bloc.dart  | Dart     |         54 |          2 |          8 |         64 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\link_invite\bloc\member_invite_event.dart | Dart     |         12 |          0 |          5 |         17 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\link_invite\bloc\member_invite_state.dart | Dart     |         14 |          0 |          9 |         23 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\today_activity\bloc\today_activity_bloc.dart            | Dart     |         23 |          0 |          5 |         28 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\today_activity\bloc\today_activity_event.dart           | Dart     |          5 |          0 |          2 |          7 |
| d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\today_activity\bloc\today_activity_state.dart           | Dart     |         13 |          0 |          8 |         21 |
