"filename", "language", "Dart", "comment", "blank", "total"
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_bloc.dart", "Dart", 165, 2, 19, 186
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_event.dart", "Dart", 56, 0, 10, 66
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_state.dart", "Dart", 15, 0, 9, 24
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_bloc.dart", "Dart", 80, 0, 13, 93
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_event.dart", "Dart", 37, 0, 10, 47
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_state.dart", "Dart", 30, 0, 13, 43
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\attendance\bloc\attendance_bloc.dart", "Dart", 0, 44, 7, 51
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\attendance\bloc\attendance_event.dart", "Dart", 0, 26, 8, 34
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\attendance\bloc\attendance_state.dart", "Dart", 0, 19, 11, 30
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\auth\bloc\auth_bloc.dart", "Dart", 139, 7, 21, 167
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\auth\bloc\auth_event.dart", "Dart", 15, 0, 9, 24
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\auth\bloc\auth_state.dart", "Dart", 22, 2, 16, 40
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\group\bloc\group_bloc.dart", "Dart", 66, 0, 10, 76
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\group\bloc\group_event.dart", "Dart", 13, 0, 9, 22
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\group\bloc\group_state.dart", "Dart", 13, 0, 8, 21
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\groupdetail\bloc\groupdetail_bloc.dart", "Dart", 26, 0, 5, 31
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\groupdetail\bloc\groupdetail_event.dart", "Dart", 7, 0, 3, 10
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\groupdetail\bloc\groupdetail_state.dart", "Dart", 13, 0, 7, 20
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\invitation\bloc\invitation_bloc.dart", "Dart", 95, 0, 18, 113
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\invitation\bloc\invitation_event.dart", "Dart", 13, 0, 6, 19
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\invitation\bloc\invitation_state.dart", "Dart", 21, 0, 11, 32
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\link_invite\bloc\member_invite_bloc.dart", "Dart", 54, 2, 8, 64
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\link_invite\bloc\member_invite_event.dart", "Dart", 12, 0, 5, 17
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\link_invite\bloc\member_invite_state.dart", "Dart", 14, 0, 9, 23
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\today_activity\bloc\today_activity_bloc.dart", "Dart", 23, 0, 5, 28
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\today_activity\bloc\today_activity_event.dart", "Dart", 5, 0, 2, 7
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\today_activity\bloc\today_activity_state.dart", "Dart", 13, 0, 8, 21
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\user\bloc\user_bloc.dart", "Dart", 25, 0, 5, 30
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\user\bloc\user_event.dart", "Dart", 7, 0, 3, 10
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\user\bloc\user_state.dart", "Dart", 16, 0, 9, 25
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_colors\app_colors.dart", "Dart", 9, 0, 2, 11
"d:\Personal\Workspace\Flutter\attendo_app\lib\firebase_options.dart", "Dart", 55, 12, 4, 71
"d:\Personal\Workspace\Flutter\attendo_app\lib\helpers\attendees_bottom_sheet.dart", "Dart", 0, 0, 1, 1
"d:\Personal\Workspace\Flutter\attendo_app\lib\main.dart", "Dart", 98, 1, 6, 105
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\activity\create_activity_screen.dart", "Dart", 135, 1, 9, 145
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\activity\create_or_update_activity_screen.dart", "Dart", 185, 6, 12, 203
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\authentication\login_screen.dart", "Dart", 264, 1, 5, 270
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\authentication\signup_screen.dart", "Dart", 152, 0, 4, 156
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\authentication\verify_email_screen.dart", "Dart", 82, 3, 14, 99
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\group\group_detail_screen.dart", "Dart", 255, 4, 10, 269
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\invite\invite_screen.dart", "Dart", 81, 0, 6, 87
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\main_screen.dart", "Dart", 73, 0, 7, 80
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\activity\activity_screen.dart", "Dart", 93, 0, 4, 97
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\home\home_screen.dart", "Dart", 572, 10, 15, 597
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\notify\notification_screen.dart", "Dart", 215, 1, 7, 223
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\profile\profile_screen.dart", "Dart", 224, 1, 5, 230
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\setting\settings_screen.dart", "Dart", 227, 0, 5, 232
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\splash\splash_screen.dart", "Dart", 47, 1, 8, 56
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\FCMTokenService.dart", "Dart", 45, 0, 5, 50
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\activity_status_service.dart", "Dart", 48, 6, 12, 66
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\attendance_service.dart", "Dart", 120, 0, 14, 134
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\color_service.dart", "Dart", 16, 0, 1, 17
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\convert_service.dart", "Dart", 29, 5, 11, 45
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\invite_user_service.dart", "Dart", 32, 1, 9, 42
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\today_activity_service.dart", "Dart", 100, 2, 12, 114
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\username_generator.dart", "Dart", 15, 0, 4, 19
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\username_service.dart", "Dart", 18, 0, 4, 22
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\choice_button.dart", "Dart", 32, 0, 3, 35
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\circle_avatar.dart", "Dart", 41, 0, 3, 44
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\custom_group_listtile.dart", "Dart", 98, 7, 4, 109
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\date_time_picker.dart", "Dart", 97, 3, 11, 111
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\group_detail_screen\all_activity_card.dart", "Dart", 239, 3, 6, 248
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\group_detail_screen\today_activity_card.dart", "Dart", 118, 0, 3, 121
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\my_button.dart", "Dart", 28, 0, 3, 31
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\my_textfield.dart", "Dart", 46, 0, 8, 54
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\setting_screen\setting_container.dart", "Dart", 50, 0, 4, 54
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\square_login_button.dart", "Dart", 31, 0, 3, 34
"d:\Personal\Workspace\Flutter\attendo_app\lib\widgets\today_activity_listtile.dart", "Dart", 113, 0, 10, 123
"Total", "-", 5078, 170, 531, 5779
