"filename", "language", "JavaScript", "JSON", "Dart", "comment", "blank", "total"
"d:\Personal\Workspace\Flutter\attendo_app\functions\.eslintrc.js", "JavaScript", 29, 0, 0, 0, 1, 30
"d:\Personal\Workspace\Flutter\attendo_app\functions\index.js", "JavaScript", 11, 0, 0, 5, 4, 20
"d:\Personal\Workspace\Flutter\attendo_app\functions\package-lock.json", "JSON", 0, 7170, 0, 0, 1, 7171
"d:\Personal\Workspace\Flutter\attendo_app\functions\package.json", "JSON", 0, 27, 0, 0, 1, 28
"d:\Personal\Workspace\Flutter\attendo_app\functions\schedules\checkAndSendReminders.js", "JavaScript", 118, 0, 0, 17, 34, 169
"d:\Personal\Workspace\Flutter\attendo_app\functions\schedules\logTodayActivities.js", "JavaScript", 43, 0, 0, 4, 8, 55
"d:\Personal\Workspace\Flutter\attendo_app\functions\schedules\sendDailySummary.js", "JavaScript", 83, 0, 0, 6, 19, 108
"d:\Personal\Workspace\Flutter\attendo_app\functions\utils\getTodayActivities.js", "JavaScript", 45, 0, 0, 5, 9, 59
"d:\Personal\Workspace\Flutter\attendo_app\functions\utils\notificationUtils.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_bloc.dart", "Dart", 0, 0, -165, -2, -19, -186
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_event.dart", "Dart", 0, 0, -56, 0, -10, -66
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_state.dart", "Dart", 0, 0, -15, 0, -9, -24
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_bloc.dart", "Dart", 0, 0, -80, 0, -13, -93
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_event.dart", "Dart", 0, 0, -37, 0, -10, -47
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_state.dart", "Dart", 0, 0, -30, 0, -13, -43
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\attendance\bloc\attendance_bloc.dart", "Dart", 0, 0, 0, -44, -7, -51
